lang	text	created_at	coordinates.type	coordinates.coordinates.0	coordinates.coordinates.1	timestamp_ms	language_detections.0.confidence	source	place.country_code	place.url	place.country	place.place_type	place.bounding_box.type	place.bounding_box.coordinates.0.0.0	place.bounding_box.coordinates.0.0.1	place.bounding_box.coordinates.0.1.0	place.bounding_box.coordinates.0.1.1	place.bounding_box.coordinates.0.2.0	place.bounding_box.coordinates.0.2.1	place.bounding_box.coordinates.0.3.0	place.bounding_box.coordinates.0.3.1	place.full_name	place.name	id	user.lang	user.statuses_count	user.description	user.friends_count	user.url	user.time_zone	user.name	user.followers_count	user.screen_name	user.location	user.location_geocoding.type	user.location_geocoding.coordinates.0	user.location_geocoding.coordinates.1	user.favourites_count	user.geo_enabled	user.id	user.listed_count
it	Noia sempre a casa...☁	Mon Jun 27 11:43:30 +0000 2016				1467027810782	0.01	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/5d838f7a011f4a2d.json	United Kingdom	admin	Polygon	-0.510365	51.286702	-0.510365	51.691824	0.334043	51.691824	0.334043	51.286702	London, England	London	747394925331873792	it	11	Dejzi\n||Ariana Grande||\n||Sergio Silvestre||❤	53			Dejzi	7	laaaa_dede		Point	0	0	144	true	746037893890703360	0
pt	@_GabsCastro aposto na Rússia	Mon Jun 27 12:31:59 +0000 2016				1467030719126	6	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/2a3f152d1ac5044a.json	United Kingdom	city	Polygon	-0.104501	51.518605	-0.104501	51.576684	-0.015834	51.576684	-0.015834	51.518605	Hackney, London	Hackney	747407123810750464	pt	7556	Emoji de unicórnio	747		Brasilia	GAYbi	529	Gaybidelirius	Londres, Inglaterra	Point	-0.1276473	51.5073219	1657	true	2552723026	1
und	Vergonyós comportament dl shadow cabinet d Corbyn, q li retiren la confiança amb l'excusa dl Brexit Se'l volien carregar des del primer dia!	Mon Jun 27 13:16:14 +0000 2016				1467033374558	3.48	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/26b0db32cfda0432.json	United Kingdom	city	Polygon	-0.06111	51.549969	-0.06111	51.648542	0.023642	51.648542	0.023642	51.549969	Walthamstow, London	Walthamstow	747418261499838468	en	4686	ARA, periodista; també novel.lista 'El avión de madera' (Candaya), 'La noia d'Aberdeen' (RBA)'   RT not endrsment	1274	https://londonbcn.wordpress.com/2015/11/30/les-ficcions-del-proces-una-provocacio/		Quim Aranda	550	ArandaQuim	Londres	Point	-0.1277583	51.5073509	227	true	2319739146	23
und	Cameron descarta davant el govern 2on EUreferèndum Ho dirà + tard als Comuns Mai no l'hauria d'haver fet No era democràcia era estupidesa	Mon Jun 27 13:21:19 +0000 2016				1467033679673	6.3	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/26b0db32cfda0432.json	United Kingdom	city	Polygon	-0.06111	51.549969	-0.06111	51.648542	0.023642	51.648542	0.023642	51.549969	Walthamstow, London	Walthamstow	747419541244903424	en	4687	ARA, periodista; també novel.lista 'El avión de madera' (Candaya), 'La noia d'Aberdeen' (RBA)'   RT not endrsment	1274	https://londonbcn.wordpress.com/2015/11/30/les-ficcions-del-proces-una-provocacio/		Quim Aranda	550	ArandaQuim	Londres	Point	-0.1277583	51.5073509	227	true	2319739146	23
und	Cameron dirà als Comuns en 40 minuts que Brexit serà una tasca molt complexa...... @ARA_mon	Mon Jun 27 13:48:49 +0000 2016				1467035329407	5.48	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/26b0db32cfda0432.json	United Kingdom	city	Polygon	-0.06111	51.549969	-0.06111	51.648542	0.023642	51.648542	0.023642	51.549969	Walthamstow, London	Walthamstow	747426460730802176	en	4688	ARA, periodista; també novel.lista 'El avión de madera' (Candaya), 'La noia d'Aberdeen' (RBA)'   RT not endrsment	1274	https://londonbcn.wordpress.com/2015/11/30/les-ficcions-del-proces-una-provocacio/		Quim Aranda	550	ArandaQuim	Londres	Point	-0.1277583	51.5073509	227	true	2319739146	23
und	Cameron comès la + gran irresponsabilitat política d la història recent britànica i ara en dóna compta als Comuns	Mon Jun 27 14:40:23 +0000 2016				1467038423691	4.98	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/26b0db32cfda0432.json	United Kingdom	city	Polygon	-0.06111	51.549969	-0.06111	51.648542	0.023642	51.648542	0.023642	51.549969	Walthamstow, London	Walthamstow	747439439098544129	en	4693	ARA, periodista; també novel.lista 'El avión de madera' (Candaya), 'La noia d'Aberdeen' (RBA)'   RT not endrsment	1274	https://londonbcn.wordpress.com/2015/11/30/les-ficcions-del-proces-una-provocacio/		Quim Aranda	550	ArandaQuim	Londres	Point	-0.1277583	51.5073509	227	true	2319739146	23
es	Pero que malo es Jordi Alba...	Mon Jun 27 16:26:50 +0000 2016				1467044810949	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/5f73d127c7ccf9d9.json	United Kingdom	city	Polygon	-0.161749	51.294332	-0.161749	51.42353	-0.023517	51.42353	-0.023517	51.294332	Croydon, London	Croydon	747466229200359435	en	2004	Talaverano, Castellano, Español. International Tourism Management por la URJC. Turismo MICE. Sales Executive at Selsdon Park Hotel & Golf Club (London)	742		Madrid	Johnny Glez.	583	jgonzalezco	Talavera de la Reina - Londres	Point	-4.8091643	39.9655231	88	true	445438501	3
en	Italy 1-0 Iniesta	Mon Jun 27 16:35:43 +0000 2016				1467045343906	0.01	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/13dd0eca94d322f1.json	United Kingdom	city	Polygon	0.383634	51.546378	0.383634	51.594472	0.530637	51.594472	0.530637	51.546378	Basildon, East	Basildon	747468464584007680	en	5824	I tweet about football	136		Casablanca	Conor Moggan	122	CMoggan	Canterbury/Essex	Point	-76.4727403	39.3523297	711	true	559041581	2
und	@hans_en hotel? només has de mirar avions!	Mon Jun 27 16:45:26 +0000 2016				1467045926235	4.24	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/5de8cffc145c486b.json	United Kingdom	city	Polygon	-0.213503	51.512805	-0.213503	51.572068	-0.105303	51.572068	-0.105303	51.512805	Camden Town, London	Camden Town	747470907048869888	en-gb	1576		315		London	gemma alonso balagué	202	geims10	london - barcelona	Point	-1.4730898	51.21276539999999	83	true	227084128	6
es	@pemacos la que está liando Rajoy	Mon Jun 27 17:06:21 +0000 2016				1467047181649	4.51	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/4393349f368f67a1.json	United Kingdom	city	Polygon	-0.15191	51.410792	-0.15191	51.509887	-0.078902	51.509887	-0.078902	51.410792	Lambeth, London	Lambeth	747476172636852224	es	12739	UX Designer in London. Informático, Publicitario y jugador de rugby. Me gusta mejorar, competir y ganar.	529	http://raulalgo.es	London	Raúl Álvarez	820	raulalgo	London - Salamanca	Point	-0.1204466	51.4914351	806	true	18946806	80
und	@oliveia_ 😊😊😊😊😊	Mon Jun 27 17:07:27 +0000 2016				1467047247223	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/58f909abfd95e133.json	United Kingdom	city	Polygon	-0.074547	51.414087	-0.074547	51.494127	0.038567	51.494127	0.038567	51.414087	Lewisham, London	Lewisham	747476447674122241	en	53112	Bantertainer! RIP Tiny ❤	455		London	poppa™	711	Adz_AKW	"#pengpengs' LDN"	Point	0	0	3594	true	339586818	3
ht	Lmfaoooooo Conté	Mon Jun 27 17:33:18 +0000 2016				1467048798768	7.39	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/58f909abfd95e133.json	United Kingdom	city	Polygon	-0.074547	51.414087	-0.074547	51.494127	0.038567	51.494127	0.038567	51.414087	Lewisham, London	Lewisham	747482955325505539	en	16154		108		Casablanca	Atticus	194	CFCAtticus	London	Point	-0.1276473	51.5073219	3863	true	453587591	4
it	Iniesta unlucky!	Mon Jun 27 17:34:11 +0000 2016				1467048851295	5.12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/00486f39ae8bd30d.json	United Kingdom	city	Polygon	0.010398	51.543815	0.010398	51.626165	0.147328	51.626165	0.147328	51.543815	Ilford, London	Ilford	747483175639711744	en	13318	Love. Life. Arsenal.	391		London	One Punch Man	218	Dav_D_B	"London "	Point	-0.1276473	51.5073219	1217	true	439377092	3
